trip_id,vehicle_model,battery_capacity_kWh,battery_start_%,battery_start_kWh,eff_kWh_per_km,max_possible_km,predicted_remaining_km
TR000001,Model 3,60,86.94,52.164,0.15,347.76,279.32
TR000002,Leaf,60,48.97,29.382,0.16,183.64,0.0
TR000003,Atto 3,50,45.2,22.6,0.17,132.94,0.0
TR000004,ZS EV,75,68.0,51.0,0.216,236.11,168.36
TR000005,Model 3,50,68.71,34.355,0.1425,241.09,150.81
TR000006,Atto 3,50,55.62,27.81,0.17,163.59,0.0
TR000007,Model 3,40,78.42,31.368,0.18,174.27,0.0
TR000008,Atto 3,40,78.95,31.58,0.204,154.8,0.0
TR000009,Atto 3,50,96.37,48.185,0.17,283.44,35.55
TR000010,Model 3,75,98.31,73.733,0.18,409.62,354.44
TR000011,ZS EV,75,53.6,40.2,0.18,223.33,0.0
TR000012,ZS EV,50,58.8,29.4,0.216,136.11,0.0
TR000013,Atto 3,40,98.35,39.34,0.204,192.84,104.5
TR000014,Leaf,60,62.55,37.53,0.16,234.56,0.0
TR000015,Model 3,60,72.12,43.272,0.15,288.48,160.61
TR000016,Atto 3,60,60.94,36.564,0.17,215.08,127.02
TR000017,ZS EV,60,87.05,52.23,0.18,290.17,0.0
TR000018,Atto 3,75,49.16,36.87,0.17,216.88,86.53
TR000019,ZS EV,50,77.57,38.785,0.216,179.56,0.0
TR000020,ZS EV,40,79.05,31.62,0.18,175.67,1.39
TR000021,ZS EV,75,75.38,56.535,0.18,314.08,208.49
TR000022,ZS EV,40,42.53,17.012,0.171,99.49,0.0
TR000023,Model 3,40,78.48,31.392,0.15,209.28,0.0
TR000024,Model 3,60,65.54,39.324,0.15,262.16,69.73
TR000025,Leaf,50,58.56,29.28,0.192,152.5,0.0
TR000026,Leaf,75,72.0,54.0,0.16,337.5,238.54
TR000027,Leaf,60,75.48,45.288,0.152,297.95,125.79
TR000028,Atto 3,60,43.88,26.328,0.204,129.06,0.0
TR000029,Atto 3,60,91.41,54.846,0.17,322.62,185.52
TR000030,ZS EV,50,72.54,36.27,0.171,212.11,0.0
TR000031,Model 3,50,97.92,48.96,0.18,272.0,37.6
TR000032,ZS EV,75,75.97,56.977,0.18,316.54,0.0
TR000033,Model 3,40,77.18,30.872,0.1425,216.65,184.94
TR000034,ZS EV,60,97.06,58.236,0.18,323.53,53.61
TR000035,ZS EV,75,59.17,44.377,0.18,246.54,180.86
TR000036,Model 3,60,44.89,26.934,0.1425,189.01,0.0
TR000037,Model 3,75,69.73,52.297,0.15,348.65,183.72
TR000038,Leaf,50,54.36,27.18,0.192,141.56,14.51
TR000039,Atto 3,50,71.81,35.905,0.17,211.21,110.28
TR000040,Atto 3,60,85.44,51.264,0.17,301.55,83.26
TR000041,Model 3,50,72.55,36.275,0.15,241.83,150.36
TR000042,ZS EV,60,94.51,56.706,0.18,315.03,24.58
TR000043,Model 3,75,67.39,50.542,0.15,336.95,166.7
TR000044,ZS EV,60,81.27,48.762,0.18,270.9,0.0
TR000045,Leaf,60,79.28,47.568,0.16,297.3,180.66
TR000046,ZS EV,75,74.68,56.01,0.18,311.17,129.96
TR000047,Model 3,75,94.28,70.71,0.18,392.83,332.61
TR000048,ZS EV,40,60.53,24.212,0.18,134.51,0.0
TR000049,ZS EV,50,47.49,23.745,0.18,131.92,0.0
TR000050,Leaf,40,43.72,17.488,0.192,91.08,0.0
TR000051,Model 3,60,49.39,29.634,0.1425,207.96,0.0
TR000052,Atto 3,50,70.93,35.465,0.17,208.62,0.0
TR000053,ZS EV,60,61.19,36.714,0.18,203.97,0.0
TR000054,Model 3,40,51.74,20.696,0.15,137.97,0.0
TR000055,Leaf,60,97.37,58.422,0.16,365.14,203.09
TR000056,Atto 3,40,71.64,28.656,0.17,168.56,5.11
TR000057,Model 3,40,56.77,22.708,0.15,151.39,0.0
TR000058,Model 3,40,84.17,33.668,0.15,224.45,173.46
TR000059,Model 3,75,92.42,69.315,0.15,462.1,268.17
TR000060,Atto 3,60,86.43,51.858,0.17,305.05,207.11
TR000061,Leaf,40,97.86,39.144,0.16,244.65,207.76
TR000062,Leaf,60,49.58,29.748,0.16,185.92,133.54
TR000063,ZS EV,40,97.82,39.128,0.171,228.82,188.19
TR000064,Atto 3,60,65.39,39.234,0.1615,242.93,191.65
TR000065,Leaf,40,73.79,29.516,0.16,184.48,0.0
TR000066,ZS EV,60,67.99,40.794,0.18,226.63,122.09
TR000067,ZS EV,40,68.8,27.52,0.171,160.94,93.85
TR000068,Atto 3,60,56.68,34.008,0.1615,210.58,100.27
TR000069,ZS EV,60,82.44,49.464,0.216,229.0,0.0
TR000070,Model 3,50,88.06,44.03,0.18,244.61,0.0
TR000071,Model 3,50,47.32,23.66,0.18,131.44,0.0
TR000072,Model 3,40,92.52,37.008,0.15,246.72,71.32
TR000073,Atto 3,60,98.06,58.836,0.1615,364.31,322.37
TR000074,Leaf,60,68.23,40.938,0.16,255.86,208.94
TR000075,Model 3,50,46.58,23.29,0.18,129.39,0.0
TR000076,Model 3,40,97.22,38.888,0.18,216.04,100.24
TR000077,ZS EV,40,91.14,36.456,0.18,202.53,52.46
TR000078,Model 3,50,81.98,40.99,0.1425,287.65,135.33
TR000079,Model 3,50,95.5,47.75,0.1425,335.09,0.0
TR000080,Leaf,50,69.32,34.66,0.16,216.62,81.85
TR000081,Leaf,40,93.84,37.536,0.16,234.6,93.97
TR000082,ZS EV,40,94.67,37.868,0.171,221.45,0.0
TR000083,Leaf,40,68.92,27.568,0.16,172.3,3.14
TR000084,Atto 3,50,52.3,26.15,0.17,153.82,0.0
TR000085,Atto 3,75,90.54,67.905,0.204,332.87,78.48
TR000086,Atto 3,40,42.31,16.924,0.17,99.55,0.0
TR000087,Atto 3,75,85.37,64.028,0.17,376.63,263.58
TR000088,Atto 3,40,60.82,24.328,0.17,143.11,20.04
TR000089,Atto 3,50,56.83,28.415,0.204,139.29,0.0
TR000090,Model 3,75,80.64,60.48,0.1425,424.42,303.16
TR000091,Atto 3,60,55.36,33.216,0.17,195.39,65.57
TR000092,Atto 3,50,89.68,44.84,0.17,263.76,0.0
TR000093,ZS EV,60,85.14,51.084,0.18,283.8,83.08
TR000094,Model 3,50,53.15,26.575,0.15,177.17,0.0
TR000095,Leaf,60,55.61,33.366,0.16,208.54,127.3
TR000096,Atto 3,50,48.05,24.025,0.204,117.77,0.0
TR000097,Leaf,60,53.55,32.13,0.16,200.81,0.0
TR000098,Atto 3,50,57.36,28.68,0.1615,177.59,0.0
TR000099,Model 3,50,70.81,35.405,0.18,196.69,0.0
TR000100,Model 3,75,54.62,40.965,0.18,227.58,44.0
TR000101,Model 3,60,75.49,45.294,0.1425,317.85,54.74
TR000102,Atto 3,40,68.12,27.248,0.17,160.28,0.0
TR000103,ZS EV,50,87.37,43.685,0.18,242.69,225.92
TR000104,Leaf,40,94.26,37.704,0.16,235.65,93.64
TR000105,Leaf,60,71.62,42.972,0.152,282.71,0.0
TR000106,Leaf,40,48.53,19.412,0.16,121.32,0.0
TR000107,ZS EV,75,55.19,41.392,0.18,229.96,0.0
TR000108,Leaf,75,92.46,69.345,0.152,456.22,314.42
TR000109,Leaf,60,56.65,33.99,0.152,223.62,132.95
TR000110,Atto 3,40,45.81,18.324,0.17,107.79,55.19
TR000111,Leaf,75,99.25,74.438,0.192,387.7,128.09
TR000112,Model 3,40,55.32,22.128,0.1425,155.28,0.0
TR000113,ZS EV,75,43.67,32.752,0.216,151.63,27.04
TR000114,Atto 3,50,95.82,47.91,0.17,281.82,223.62
TR000115,Atto 3,75,52.23,39.172,0.17,230.43,80.22
TR000116,ZS EV,50,76.32,38.16,0.18,212.0,0.0
TR000117,Model 3,75,88.23,66.172,0.15,441.15,326.52
TR000118,Atto 3,60,91.41,54.846,0.1615,339.6,0.0
TR000119,Atto 3,75,86.57,64.927,0.204,318.27,259.66
TR000120,Model 3,75,63.1,47.325,0.15,315.5,98.35
TR000121,Model 3,40,63.78,25.512,0.15,170.08,55.81
TR000122,Leaf,75,52.87,39.653,0.152,260.87,212.34
TR000123,Atto 3,50,81.22,40.61,0.204,199.07,9.79
TR000124,Atto 3,60,85.95,51.57,0.17,303.35,0.0
TR000125,Model 3,60,63.97,38.382,0.15,255.88,80.6
TR000126,Leaf,40,65.25,26.1,0.16,163.12,0.0
TR000127,Leaf,75,66.21,49.657,0.16,310.36,247.64
TR000128,ZS EV,50,77.67,38.835,0.18,215.75,49.49
TR000129,ZS EV,75,94.36,70.77,0.18,393.17,190.03
TR000130,Leaf,75,65.26,48.945,0.192,254.92,95.48
TR000131,Model 3,50,67.98,33.99,0.15,226.6,150.43
TR000132,Atto 3,50,97.9,48.95,0.204,239.95,156.61
TR000133,Atto 3,75,43.74,32.805,0.17,192.97,160.88
TR000134,Leaf,60,94.28,56.568,0.16,353.55,30.49
TR000135,Leaf,60,83.05,49.83,0.16,311.44,264.66
TR000136,Model 3,60,76.47,45.882,0.18,254.9,58.83
TR000137,Atto 3,40,82.79,33.116,0.17,194.8,126.78
TR000138,Atto 3,40,99.57,39.828,0.17,234.28,0.0
TR000139,Leaf,50,76.06,38.03,0.16,237.69,174.84
TR000140,Leaf,40,89.45,35.78,0.152,235.39,176.24
TR000141,Model 3,60,52.55,31.53,0.1425,221.26,0.0
TR000142,Atto 3,50,66.68,33.34,0.17,196.12,37.98
TR000143,Model 3,40,54.94,21.976,0.15,146.51,73.27
TR000144,Atto 3,40,45.18,18.072,0.17,106.31,0.0
TR000145,Atto 3,60,73.39,44.034,0.17,259.02,188.06
TR000146,Atto 3,75,50.5,37.875,0.17,222.79,37.01
TR000147,Leaf,75,87.71,65.782,0.152,432.78,367.43
TR000148,Leaf,50,41.57,20.785,0.16,129.91,41.87
TR000149,Atto 3,75,47.33,35.498,0.17,208.81,0.0
TR000150,Atto 3,60,93.65,56.19,0.204,275.44,0.0
TR000151,Atto 3,75,84.81,63.608,0.1615,393.85,193.22
TR000152,Atto 3,75,47.88,35.91,0.17,211.24,51.89
TR000153,ZS EV,75,78.78,59.085,0.18,328.25,133.15
TR000154,ZS EV,40,57.0,22.8,0.171,133.33,37.68
TR000155,ZS EV,40,64.25,25.7,0.18,142.78,80.97
TR000156,Model 3,40,43.4,17.36,0.1425,121.82,0.0
TR000157,Model 3,60,58.71,35.226,0.1425,247.2,186.75
TR000158,ZS EV,50,86.32,43.16,0.18,239.78,34.85
TR000159,ZS EV,60,78.13,46.878,0.216,217.03,0.0
TR000160,Atto 3,75,91.64,68.73,0.17,404.29,371.15
TR000161,Atto 3,75,92.93,69.698,0.17,409.99,216.64
TR000162,Model 3,40,91.9,36.76,0.18,204.22,87.56
TR000163,Atto 3,60,56.05,33.63,0.17,197.82,8.92
TR000164,Model 3,75,49.81,37.358,0.15,249.05,166.5
TR000165,ZS EV,40,93.32,37.328,0.171,218.29,0.0
TR000166,ZS EV,60,45.08,27.048,0.171,158.18,25.29
TR000167,ZS EV,75,55.85,41.888,0.216,193.92,0.0
TR000168,Atto 3,60,96.35,57.81,0.1615,357.96,235.42
TR000169,Leaf,50,89.66,44.83,0.192,233.49,0.0
TR000170,Leaf,60,61.47,36.882,0.192,192.09,0.0
TR000171,Atto 3,60,41.02,24.612,0.204,120.65,89.35
TR000172,Model 3,60,47.27,28.362,0.15,189.08,119.99
TR000173,Atto 3,75,68.23,51.172,0.204,250.85,186.07
TR000174,Leaf,60,44.08,26.448,0.152,174.0,60.04
TR000175,Leaf,40,75.3,30.12,0.16,188.25,0.0
TR000176,Atto 3,40,44.59,17.836,0.17,104.92,31.91
TR000177,Model 3,50,59.65,29.825,0.1425,209.3,5.56
TR000178,Model 3,75,57.51,43.133,0.15,287.55,0.0
TR000179,Atto 3,40,85.22,34.088,0.17,200.52,0.0
TR000180,ZS EV,50,96.13,48.065,0.171,281.08,202.02
TR000181,Leaf,40,95.43,38.172,0.192,198.81,45.86
TR000182,Atto 3,40,93.51,37.404,0.204,183.35,64.86
TR000183,Model 3,75,96.66,72.495,0.1425,508.74,243.49
TR000184,Atto 3,50,88.47,44.235,0.17,260.21,164.6
TR000185,Atto 3,60,55.13,33.078,0.17,194.58,0.0
TR000186,ZS EV,60,90.52,54.312,0.18,301.73,190.4
TR000187,Model 3,50,50.19,25.095,0.15,167.3,0.0
TR000188,Leaf,75,59.56,44.67,0.16,279.19,0.0
TR000189,Atto 3,60,50.99,30.594,0.17,179.96,129.99
TR000190,Model 3,75,81.48,61.11,0.15,407.4,306.95
TR000191,Model 3,60,97.88,58.728,0.18,326.27,211.62
TR000192,Model 3,75,83.25,62.438,0.15,416.25,369.16
TR000193,Model 3,50,77.34,38.67,0.15,257.8,119.6
TR000194,ZS EV,75,47.36,35.52,0.18,197.33,0.0
TR000195,Atto 3,50,48.87,24.435,0.17,143.74,34.08
TR000196,ZS EV,50,80.44,40.22,0.18,223.44,142.92
TR000197,Leaf,60,93.3,55.98,0.192,291.56,143.86
TR000198,Leaf,75,63.78,47.835,0.16,298.97,74.68
TR000199,ZS EV,75,66.73,50.047,0.18,278.04,18.54
TR000200,ZS EV,50,78.65,39.325,0.18,218.47,71.45
TR000201,Leaf,60,77.34,46.404,0.16,290.03,196.54
TR000202,Atto 3,50,57.34,28.67,0.17,168.65,0.0
TR000203,Atto 3,50,42.56,21.28,0.17,125.18,0.0
TR000204,ZS EV,40,43.48,17.392,0.18,96.62,6.94
TR000205,ZS EV,40,54.52,21.808,0.171,127.53,0.0
TR000206,Model 3,40,91.11,36.444,0.18,202.47,0.0
TR000207,Leaf,60,89.22,53.532,0.152,352.18,265.79
TR000208,ZS EV,40,90.63,36.252,0.171,212.0,0.0
TR000209,ZS EV,40,79.09,31.636,0.18,175.76,0.0
TR000210,ZS EV,60,99.01,59.406,0.171,347.4,155.39
TR000211,Model 3,50,46.76,23.38,0.18,129.89,0.0
TR000212,Atto 3,60,96.96,58.176,0.204,285.18,206.59
TR000213,Model 3,40,84.89,33.956,0.18,188.64,104.31
TR000214,ZS EV,75,57.4,43.05,0.216,199.31,95.51
TR000215,ZS EV,50,66.09,33.045,0.18,183.58,61.94
TR000216,Model 3,40,97.8,39.12,0.18,217.33,0.0
TR000217,Leaf,75,94.11,70.582,0.192,367.62,127.74
TR000218,Leaf,75,46.83,35.123,0.192,182.93,16.4
TR000219,ZS EV,75,43.35,32.513,0.171,190.13,21.44
TR000220,Atto 3,75,60.05,45.038,0.17,264.93,207.6
TR000221,Leaf,60,93.73,56.238,0.16,351.49,195.43
TR000222,Model 3,50,65.1,32.55,0.15,217.0,57.56
TR000223,Model 3,50,92.89,46.445,0.15,309.63,181.79
TR000224,ZS EV,50,50.65,25.325,0.216,117.25,0.0
TR000225,Atto 3,75,93.32,69.99,0.17,411.71,74.62
TR000226,Model 3,60,70.15,42.09,0.15,280.6,129.41
TR000227,Model 3,60,91.5,54.9,0.1425,385.26,308.86
TR000228,Model 3,50,60.11,30.055,0.15,200.37,0.0
TR000229,Model 3,40,66.64,26.656,0.15,177.71,0.0
TR000230,Leaf,75,51.78,38.835,0.16,242.72,106.23
TR000231,ZS EV,50,89.6,44.8,0.171,261.99,83.68
TR000232,Model 3,40,63.71,25.484,0.15,169.89,0.0
TR000233,ZS EV,60,44.18,26.508,0.171,155.02,0.0
TR000234,Atto 3,50,92.73,46.365,0.17,272.74,126.1
TR000235,Leaf,75,62.49,46.867,0.152,308.34,198.25
TR000236,ZS EV,60,87.52,52.512,0.18,291.73,81.89
TR000237,ZS EV,50,86.8,43.4,0.216,200.93,0.0
TR000238,Atto 3,40,75.37,30.148,0.1615,186.67,0.0
TR000239,Model 3,75,53.13,39.847,0.15,265.65,194.04
TR000240,Model 3,75,47.95,35.962,0.15,239.75,154.72
TR000241,Model 3,75,69.08,51.81,0.18,287.83,130.42
TR000242,ZS EV,40,92.13,36.852,0.171,215.51,0.0
