trip_id,driver_id,vehicle_make,vehicle_model,origin,destination,distance_km,elevation_gain_m,trip_date,avg_speed,max_speed,acceleration_mean,acceleration_std,braking_intensity,trip_duration_min,road_type,weather,time_of_day,driving_style
TR000001,DRV0326,Tesla,Model 3,Jaffna,Trincomalee,66,28,2025-09-03 19:18:26,51.02,63.82,0.786,0.498,0.55,86,coastal,cloudy,evening,Normal
TR000002,DRV0106,Nissan,Leaf,Trincomalee,Kandy,216,191,2025-05-28 19:18:26,42.05,48.62,0.894,0.083,0.555,292,city,heavy_rain,night,Normal
TR000003,DRV0300,BYD,Atto 3,Jaffna,Galle,357,71,2025-02-19 19:18:26,43.56,52.19,1.051,0.258,0.337,476,highway,sunny,evening,Normal
TR000004,DRV0092,MG,ZS EV,Kurunegala,Matara,62,13,2025-07-23 19:18:26,56.39,67.6,1.435,0.791,0.488,68,rural,sunny,morning,Aggressive
TR000005,DRV0092,Tesla,Model 3,Batticaloa,Anuradhapura,101,66,2025-07-10 19:18:26,44.9,57.35,0.499,0.487,0.227,138,highway,sunny,afternoon,Eco
TR000006,DRV0368,BYD,Atto 3,Ratnapura,Anuradhapura,221,96,2025-08-05 19:18:26,54.28,82.77,0.847,0.211,0.099,237,rural,cloudy,evening,Normal
TR000007,DRV0267,Tesla,Model 3,Batticaloa,Kandy,352,126,2025-09-07 19:18:26,52.4,60.95,1.878,0.501,0.352,386,city,light_rain,morning,Aggressive
TR000008,DRV0275,BYD,Atto 3,Colombo,Ratnapura,376,327,2025-02-19 19:18:26,26.13,31.75,2.286,0.921,2.187,737,highway,sunny,night,Aggressive
TR000009,DRV0084,BYD,Atto 3,Batticaloa,Kurunegala,233,75,2025-05-28 19:18:26,63.38,68.93,0.967,0.455,0.227,215,city,cloudy,night,Normal
TR000010,DRV0069,Tesla,Model 3,Batticaloa,Ratnapura,49,68,2025-07-13 19:18:26,64.16,85.0,0.28,0.461,0.982,49,city,sunny,night,Aggressive
TR000011,DRV0355,MG,ZS EV,Colombo,Anuradhapura,262,145,2025-08-17 19:18:26,41.3,61.51,1.254,0.531,0.345,335,coastal,sunny,morning,Normal
TR000012,DRV0113,MG,ZS EV,Kandy,Anuradhapura,140,130,2025-08-07 19:18:26,56.88,79.29,1.962,1.407,0.299,156,city,cloudy,night,Aggressive
TR000013,DRV0043,BYD,Atto 3,Galle,Colombo,83,47,2024-12-21 19:18:26,41.66,45.39,1.314,0.71,1.087,114,rural,sunny,morning,Aggressive
TR000014,DRV0359,Nissan,Leaf,Matara,Jaffna,251,52,2025-02-17 19:18:26,26.38,30.75,1.159,0.862,0.31,586,highway,sunny,morning,Normal
TR000015,DRV0314,Tesla,Model 3,Ratnapura,Trincomalee,126,185,2025-03-11 19:18:26,31.34,40.65,0.346,0.079,0.49,235,rural,sunny,night,Normal
TR000016,DRV0023,BYD,Atto 3,Anuradhapura,Galle,85,44,2025-08-01 19:18:26,70.8,93.33,0.791,0.274,0.37,73,city,cloudy,morning,Normal
TR000017,DRV0205,MG,ZS EV,Colombo,Batticaloa,388,165,2025-09-03 19:18:26,42.04,42.06,0.712,0.758,0.271,508,rural,sunny,evening,Normal
TR000018,DRV0359,BYD,Atto 3,Batticaloa,Kandy,127,124,2025-08-31 19:18:26,58.82,76.97,0.567,0.548,0.492,137,rural,sunny,night,Normal
TR000019,DRV0161,MG,ZS EV,Galle,Jaffna,261,238,2025-05-30 19:18:26,66.66,75.96,1.533,1.679,1.171,241,coastal,light_rain,night,Aggressive
TR000020,DRV0128,MG,ZS EV,Kandy,Trincomalee,189,97,2024-11-28 19:18:26,37.97,63.02,0.517,0.855,0.565,291,highway,sunny,afternoon,Normal
