trip_id,vehicle_model,distance_km,driving_style,road_type,weather,elevation_gain_m,avg_speed,energy_consumed_kWh,battery_capacity_kWh,battery_start_%,battery_end_%
TR000001,ZS EV,267,Eco,city,light_rain,221,41.79,46.869,50,73.28,0.0
TR000002,Model 3,40,Normal,rural,sunny,57,51.33,6.159,75,55.4,47.19
TR000003,Leaf,77,Aggressive,city,monsoon,69,52.86,18.553,60,41.58,10.66
TR000004,Model 3,57,Aggressive,rural,cloudy,111,15.67,11.571,40,80.3,51.37
TR000005,ZS EV,155,Eco,coastal,cloudy,98,33.41,26.363,40,72.41,6.5
TR000006,Leaf,64,Aggressive,rural,sunny,29,45.72,13.927,60,44.11,20.9
TR000007,Atto 3,405,Normal,coastal,sunny,141,46.21,72.495,60,47.5,0.0
TR000008,ZS EV,59,Normal,coastal,cloudy,76,44.01,11.131,40,66.4,38.57
TR000009,Atto 3,107,Normal,city,monsoon,32,24.73,22.033,60,84.19,47.47
TR000010,Leaf,118,Normal,rural,cloudy,197,43.48,19.912,60,94.65,61.46
TR000011,ZS EV,211,Aggressive,city,cloudy,253,24.48,52.052,40,47.9,0.0
TR000012,Atto 3,134,Eco,rural,cloudy,92,51.09,21.336,75,78.9,50.45
TR000013,Model 3,228,Aggressive,city,cloudy,196,47.16,48.017,40,70.3,0.0
TR000014,Atto 3,93,Normal,rural,light_rain,42,57.35,16.404,40,55.5,14.49
TR000015,Atto 3,129,Aggressive,rural,monsoon,55,61.36,31.787,75,47.76,5.38
TR000016,Model 3,73,Normal,highway,sunny,98,57.8,10.001,50,76.73,56.73
TR000017,Leaf,271,Normal,city,monsoon,297,57.31,50.604,60,60.98,0.0
TR000018,Leaf,147,Normal,coastal,cloudy,130,36.39,25.201,50,96.21,45.81
TR000019,Model 3,366,Eco,city,sunny,304,37.25,52.226,75,64.66,0.0
TR000020,ZS EV,77,Normal,rural,cloudy,89,54.44,14.254,50,66.58,38.07
TR000021,ZS EV,39,Normal,rural,monsoon,87,41.95,8.074,40,98.15,77.96
TR000022,Atto 3,86,Normal,highway,heavy_rain,82,24.67,15.316,50,95.32,64.69
TR000023,ZS EV,32,Normal,highway,cloudy,79,56.94,5.803,60,96.16,86.49
TR000024,Leaf,271,Normal,city,heavy_rain,187,31.0,50.36,40,51.33,0.0
