origin,destination,route_id,route_label,route_distance_km,avg_speed_kmh,traffic_level,estimated_time_min,estimated_energy_kWh,driving_style,vehicle_model,weather,is_optimal
Galle,Anuradhapura,Galle_Anuradhapura_A,A,65,43,medium,95,11.817,Normal,ZS EV,cloudy,0
Galle,Anuradhapura,Galle_Anuradhapura_B,B,51,52,low,58,7.932,Eco,Leaf,heavy_rain,1
Galle,Anuradhapura,Galle_Anuradhapura_C,C,55,31,low,106,8.8,Normal,Leaf,sunny,0
Galle,Kurunegala,Galle_Kurunegala_A,A,40,47,low,51,6.0,Normal,Model 3,sunny,0
Galle,Kurunegala,Galle_Kurunegala_B,B,33,39,low,50,5.988,Eco,ZS EV,monsoon,1
Galle,Kurunegala,Galle_Kurunegala_C,C,44,37,high,85,7.999,Normal,ZS EV,cloudy,0
Matara,Ratnapura,Matara_Ratnapura_A,A,68,45,low,90,10.404,Eco,Atto 3,sunny,1
Matara,Ratnapura,Matara_Ratnapura_B,B,71,64,low,66,12.723,Normal,Leaf,monsoon,0
Matara,Ratnapura,Matara_Ratnapura_C,C,63,34,high,133,11.995,Normal,Atto 3,monsoon,0
Ratnapura,Anuradhapura,Ratnapura_Anuradhapura_A,A,33,58,medium,35,6.118,Normal,ZS EV,light_rain,1
Ratnapura,Anuradhapura,Ratnapura_Anuradhapura_B,B,37,59,medium,39,8.62,Aggressive,Leaf,monsoon,0
Ratnapura,Anuradhapura,Ratnapura_Anuradhapura_C,C,34,54,high,45,7.16,Aggressive,Model 3,heavy_rain,0
Trincomalee,Matara,Trincomalee_Matara_A,A,63,44,low,85,15.594,Aggressive,Atto 3,monsoon,0
Trincomalee,Matara,Trincomalee_Matara_B,B,70,65,medium,67,15.934,Aggressive,Atto 3,light_rain,0
Trincomalee,Matara,Trincomalee_Matara_C,C,75,59,medium,80,13.122,Eco,ZS EV,heavy_rain,1
Batticaloa,Galle,Batticaloa_Galle_A,A,43,60,low,43,7.895,Normal,Atto 3,heavy_rain,0
Batticaloa,Galle,Batticaloa_Galle_B,B,43,76,high,40,8.669,Normal,ZS EV,monsoon,0
Batticaloa,Galle,Batticaloa_Galle_C,C,39,52,high,54,6.63,Normal,Atto 3,sunny,1
Matara,Kurunegala,Matara_Kurunegala_A,A,81,61,high,95,13.09,Normal,Leaf,cloudy,0
Matara,Kurunegala,Matara_Kurunegala_B,B,62,49,low,75,10.044,Normal,Model 3,heavy_rain,1
Matara,Kurunegala,Matara_Kurunegala_C,C,64,34,low,112,11.75,Normal,Atto 3,heavy_rain,0
Batticaloa,Anuradhapura,Batticaloa_Anuradhapura_A,A,52,67,high,55,8.736,Normal,Model 3,monsoon,1
Batticaloa,Anuradhapura,Batticaloa_Anuradhapura_B,B,67,33,medium,127,15.251,Aggressive,Atto 3,light_rain,0
Batticaloa,Anuradhapura,Batticaloa_Anuradhapura_C,C,71,44,high,116,11.474,Normal,Leaf,cloudy,0
Ratnapura,Kandy,Ratnapura_Kandy_A,A,78,43,medium,114,14.152,Eco,ZS EV,monsoon,0
Ratnapura,Kandy,Ratnapura_Kandy_B,B,65,51,high,91,10.53,Normal,Model 3,heavy_rain,0
Ratnapura,Kandy,Ratnapura_Kandy_C,C,64,52,medium,77,9.331,Eco,Model 3,heavy_rain,1
Galle,Trincomalee,Galle_Trincomalee_A,A,103,49,low,126,15.604,Normal,Model 3,cloudy,0
Galle,Trincomalee,Galle_Trincomalee_B,B,85,48,low,106,14.45,Normal,Atto 3,sunny,1
Galle,Trincomalee,Galle_Trincomalee_C,C,101,56,high,129,19.23,Normal,Atto 3,monsoon,0
Trincomalee,Colombo,Trincomalee_Colombo_A,A,28,29,high,69,5.04,Normal,ZS EV,sunny,0
Trincomalee,Colombo,Trincomalee_Colombo_B,B,29,53,medium,34,4.93,Normal,Atto 3,sunny,1
Trincomalee,Colombo,Trincomalee_Colombo_C,C,34,81,low,25,7.956,Aggressive,ZS EV,sunny,0
Matara,Anuradhapura,Matara_Anuradhapura_A,A,47,53,low,53,8.528,Eco,ZS EV,monsoon,0
Matara,Anuradhapura,Matara_Anuradhapura_B,B,47,63,medium,47,7.746,Normal,Leaf,light_rain,1
Matara,Anuradhapura,Matara_Anuradhapura_C,C,57,37,medium,97,11.226,Aggressive,Model 3,cloudy,0
Trincomalee,Kandy,Trincomalee_Kandy_A,A,115,69,high,120,18.816,Eco,ZS EV,cloudy,0
Trincomalee,Kandy,Trincomalee_Kandy_B,B,92,33,medium,175,14.72,Normal,Leaf,sunny,1
Trincomalee,Kandy,Trincomalee_Kandy_C,C,120,34,medium,222,18.911,Eco,Atto 3,light_rain,0
Ratnapura,Kandy,Ratnapura_Kandy_A,A,68,63,medium,68,13.709,Normal,ZS EV,monsoon,0
Ratnapura,Kandy,Ratnapura_Kandy_B,B,55,53,low,62,8.554,Eco,Leaf,heavy_rain,1
Ratnapura,Kandy,Ratnapura_Kandy_C,C,65,40,high,117,10.504,Normal,Leaf,cloudy,0
Kurunegala,Batticaloa,Kurunegala_Batticaloa_A,A,20,54,low,22,3.06,Eco,Atto 3,sunny,1
Kurunegala,Batticaloa,Kurunegala_Batticaloa_B,B,20,50,medium,25,3.232,Normal,Leaf,cloudy,0
Kurunegala,Batticaloa,Kurunegala_Batticaloa_C,C,21,51,low,24,3.893,Normal,ZS EV,light_rain,0
Batticaloa,Trincomalee,Batticaloa_Trincomalee_A,A,85,57,low,89,11.59,Eco,Model 3,cloudy,1
Batticaloa,Trincomalee,Batticaloa_Trincomalee_B,B,85,66,low,77,13.6,Normal,Leaf,sunny,0
Batticaloa,Trincomalee,Batticaloa_Trincomalee_C,C,77,63,low,73,13.86,Normal,ZS EV,sunny,0
Jaffna,Matara,Jaffna_Matara_A,A,24,50,high,34,3.672,Eco,Atto 3,sunny,0
Jaffna,Matara,Jaffna_Matara_B,B,18,52,high,24,4.193,Aggressive,Leaf,monsoon,0
Jaffna,Matara,Jaffna_Matara_C,C,19,43,medium,27,3.17,Eco,ZS EV,light_rain,1
Jaffna,Kurunegala,Jaffna_Kurunegala_A,A,76,59,low,77,14.47,Normal,Atto 3,monsoon,0
Jaffna,Kurunegala,Jaffna_Kurunegala_B,B,89,58,high,110,22.492,Aggressive,ZS EV,heavy_rain,0
Jaffna,Kurunegala,Jaffna_Kurunegala_C,C,76,42,high,130,13.308,Normal,Atto 3,light_rain,1
Batticaloa,Kurunegala,Batticaloa_Kurunegala_A,A,97,62,low,93,14.55,Normal,Model 3,sunny,1
Batticaloa,Kurunegala,Batticaloa_Kurunegala_B,B,81,54,medium,94,15.953,Aggressive,Model 3,cloudy,0
Batticaloa,Kurunegala,Batticaloa_Kurunegala_C,C,89,20,medium,280,15.949,Normal,Leaf,monsoon,0
Colombo,Kurunegala,Colombo_Kurunegala_A,A,61,61,low,60,10.931,Normal,Leaf,monsoon,0
Colombo,Kurunegala,Colombo_Kurunegala_B,B,62,52,low,71,10.019,Normal,Leaf,cloudy,0
Colombo,Kurunegala,Colombo_Kurunegala_C,C,56,50,medium,70,9.408,Normal,Model 3,monsoon,1
Ratnapura,Kandy,Ratnapura_Kandy_A,A,97,30,low,194,15.675,Normal,Leaf,cloudy,0
Ratnapura,Kandy,Ratnapura_Kandy_B,B,90,60,high,108,22.277,Aggressive,Atto 3,monsoon,0
Ratnapura,Kandy,Ratnapura_Kandy_C,C,79,41,low,115,15.405,Aggressive,Model 3,sunny,1
Jaffna,Anuradhapura,Jaffna_Anuradhapura_A,A,27,33,low,49,6.29,Aggressive,Leaf,monsoon,0
Jaffna,Anuradhapura,Jaffna_Anuradhapura_B,B,28,38,low,44,4.76,Normal,Atto 3,sunny,1
